"Año";"Periodo";"Emigración";"Inmigración"
"2008";"Semestre 1";"134.650";"329.772"
"2008";"Semestre 2";"153.782";"269.302"
"2009";"Semestre 1";"184.140";"205.091"
"2009";"Semestre 2";"195.978";"187.872"
"2010";"Semestre 1";"197.032";"173.714"
"2010";"Semestre 2";"206.347";"186.990"
"2011";"Semestre 1";"200.634";"176.808"
"2011";"Semestre 2";"208.400";"194.527"
"2012";"Semestre 1";"212.457";"153.205"
"2012";"Semestre 2";"234.148";"150.849"
"2013";"Semestre 1";"269.691";"127.796"
"2013";"Semestre 2";"262.612";"152.976"
"2014";"Semestre 1";"199.552";"138.274"
"2014";"Semestre 2";"200.877";"167.180"
"2015";"Semestre 1";"173.062";"154.659"
"2015";"Semestre 2";"170.812";"187.455"
"2016";"Semestre 1";"166.819";"186.918"
"2016";"Semestre 2";"160.505";"227.829"
"2017";"Semestre 1";"184.189";"237.115"
"2017";"Semestre 2";"172.604";"298.890"
"2018";"Semestre 1";"166.318";"287.882"
"2018";"Semestre 2";"141.372";"357.758"
;;;
;;;
"Métrica":"Emigración"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Inmigración"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-emigracion-inmigracion-espana/850abf9a-b197-4481-b9a4-351d931d3247"
"Titulo":"Evolución de la emigración e inmigración en España"
"Subtitulo":"De cualquier nacionalidad"
