"Año";"Periodo";"Hombres";"Mujeres";"Población total"
"2017";"Año";"22,79";"23,65";"46,44"
"2018";"Año";"22,78";"23,66";"46,44"
"2019";"Año";"22,76";"23,67";"46,43"
"2020";"Año";"22,74";"23,67";"46,41"
"2021";"Año";"22,71";"23,67";"46,38"
"2022";"Año";"22,69";"23,66";"46,35"
"2023";"Año";"22,66";"23,65";"46,31"
"2024";"Año";"22,62";"23,64";"46,26"
"2025";"Año";"22,59";"23,62";"46,22"
"2026";"Año";"22,56";"23,61";"46,16"
"2027";"Año";"22,52";"23,59";"46,11"
"2028";"Año";"22,49";"23,57";"46,06"
"2029";"Año";"22,45";"23,55";"46"
"2030";"Año";"22,42";"23,53";"45,94"
"2031";"Año";"22,38";"23,51";"45,89"
"2032";"Año";"22,34";"23,49";"45,83"
"2033";"Año";"22,3";"23,46";"45,77"
"2034";"Año";"22,27";"23,44";"45,71"
"2035";"Año";"22,23";"23,42";"45,65"
"2036";"Año";"22,19";"23,4";"45,59"
"2037";"Año";"22,15";"23,37";"45,52"
"2038";"Año";"22,11";"23,35";"45,46"
"2039";"Año";"22,07";"23,32";"45,39"
"2040";"Año";"22,03";"23,29";"45,32"
"2041";"Año";"21,99";"23,26";"45,25"
"2042";"Año";"21,94";"23,23";"45,17"
"2043";"Año";"21,89";"23,19";"45,09"
"2044";"Año";"21,84";"23,15";"44,99"
"2045";"Año";"21,79";"23,11";"44,9"
"2046";"Año";"21,73";"23,06";"44,79"
"2047";"Año";"21,67";"23";"44,67"
"2048";"Año";"21,6";"22,94";"44,55"
"2049";"Año";"21,53";"22,88";"44,41"
"2050";"Año";"21,46";"22,81";"44,27"
"2051";"Año";"21,38";"22,74";"44,12"
"2052";"Año";"21,3";"22,66";"43,95"
"2053";"Año";"21,21";"22,57";"43,78"
"2054";"Año";"21,12";"22,48";"43,6"
"2055";"Año";"21,03";"22,39";"43,42"
"2056";"Año";"20,94";"22,29";"43,23"
"2057";"Año";"20,84";"22,19";"43,03"
"2058";"Año";"20,74";"22,08";"42,82"
"2059";"Año";"20,64";"21,97";"42,61"
"2060";"Año";"20,53";"21,86";"42,4"
"2061";"Año";"20,43";"21,75";"42,18"
"2062";"Año";"20,33";"21,63";"41,96"
"2063";"Año";"20,22";"21,51";"41,74"
"2064";"Año";"20,12";"21,39";"41,51"
"2065";"Año";"20,02";"21,27";"41,29"
"2066";"Año";"19,91";"21,15";"41,07"
;;;;
;;;;
"Métrica":"Hombres"
"Fuente":"INE"
"Clasificación":"Desde 2016 hasta 2066"
"Unidad":"Número de personas"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Mujeres"
"Fuente":"INE"
"Clasificación":"Desde 2016 hasta 2066"
"Unidad":"Número de personas"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Población total"
"Fuente":"INE"
"Clasificación":"Desde 2016 hasta 2066"
"Unidad":"Número de personas"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://www.epdata.es/evolucion-prevista-poblacion/099dee74-ac7d-4d3c-a4fa-fbdab676ed1d"
"Titulo":"Evolución prevista de la población de España según sexo"
"Subtitulo":"Proyecciones de población del INE"
